# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = cal_g_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/mathias/workflow_stepps_calibration/calibration/data/elicitation_neus_certainty_median_110_sites_only_abies_new_species.dump
# init = 2 (Default)
# random
#   seed = 341546314
# output
#   file = cal_g_Kgamma_EPs_110.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,psi,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,mu_gamma,sigma_gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110
# Adaptation terminated
# Step size = 0.245328
# Diagonal elements of inverse mass matrix:
# 0.0162851, 0.00535544, 0.0340903, 0.0159461, 0.0100249, 0.0160364, 0.00814843, 0.00520116, 0.0324414, 0.0143965, 0.0262255, 0.00996754, 0.487102, 0.0139038, 0.594178, 0.0537168, 0.065336, 0.0538195, 0.0343875, 0.251827, 0.161279, 0.0202536, 0.201722, 0.279137, 0.0484907, 0.0698622, 0.374306, 2.32938, 0.108153
-4194.06,0.966723,0.245328,4,15,0,4217.91,78.9984,30.7972,205.08,58.7687,80.8633,72.2923,19.5253,60.4055,17.9713,122.311,165.739,31.7745,192.659,0.341839,0.0466027,0.195342,0.274613,0.127274,0.228386,0.0431564,0.220422,0.222919,0.120991,0.0710353,0.0379458,0.272665,0.0757924,-1.68155,1.04385,-34.1849,-36.2018,-31.9432,-47.3679,-41.7611,-39.3697,-38.3452,-46.8738,-39.3095,-35.0162,-49.3568,-38.9735,-39.6211,-36.5818,-40.8966,-48.5215,-42.9586,-35.0362,-39.1364,-45.2636,-35.7625,-40.8884,-44.2026,-40.5007,-40.2093,-32.9092,-31.5833,-38.0522,-42.036,-33.0879,-32.3957,-38.6096,-37.9735,-33.1504,-39.1195,-32.9078,-29.2164,-47.5447,-37.6652,-42.1024,-44.88,-42.5652,-35.5555,-38.4254,-35.4394,-34.5336,-29.5757,-38.7837,-36.4185,-36.3034,-45.7828,-47.3503,-35.3181,-35.7558,-32.5625,-35.1609,-40.8396,-44.029,-45.3209,-44.2883,-40.5596,-46.8588,-51.1112,-28.4116,-32.1456,-42.7044,-39.466,-31.1441,-34.7016,-35.6553,-35.3207,-30.2197,-37.1885,-35.3892,-43.8395,-32.4907,-33.5319,-42.1476,-39.5392,-34.2199,-42.0516,-38.7691,-41.5851,-27.801,-42.2827,-52.5714,-41.9424,-42.0838,-38.8617,-36.9151,-40.2645,-45.1177,-44.8087,-38.4136,-41.1237,-36.6334,-34.3793,-35.9127,-37.7662,-33.0266,-38.1708,-32.5854,-30.6216,-35.302,-30.2576,-38.4606,-38.9527,-34.5893,-39.4517,-42.7757
-4192.42,0.95888,0.245328,4,15,0,4209.04,78.1308,28.1885,193.52,53.5872,76.1366,66.4621,19.8872,58.6545,19.5488,124.552,156.694,31.903,136.199,0.352219,0.0783211,0.228786,0.241518,0.180054,0.209729,0.127741,0.138986,0.257684,0.086563,0.0466863,0.0410136,0.298747,0.0569523,-1.64359,1.10279,-33.8066,-36.9564,-31.8967,-47.2494,-40.6561,-40.142,-38.7273,-47.4527,-39.6895,-34.8661,-49.5539,-39.9411,-39.6204,-35.9319,-40.6255,-48.5764,-43.1911,-34.6288,-39.6118,-43.0018,-36.4937,-40.3933,-44.62,-40.5365,-39.4887,-32.6989,-31.4265,-38.3005,-41.5787,-32.9162,-32.1901,-38.4008,-38.1492,-32.6532,-38.9367,-32.2996,-32.2238,-47.4115,-37.8268,-41.7463,-44.8835,-42.8848,-35.8384,-38.5238,-35.6747,-33.9819,-28.5749,-39.1697,-36.4322,-36.4648,-46.0701,-46.5641,-34.9042,-35.5434,-32.5419,-35.302,-40.2598,-43.946,-45.8387,-43.5507,-40.3547,-46.7433,-51.6547,-28.0485,-32.1761,-42.8788,-39.8605,-31.1936,-34.2847,-39.6431,-34.7575,-29.7834,-37.055,-35.4001,-44.5406,-31.325,-33.5873,-42.5939,-40.0423,-33.4275,-42.9244,-38.6672,-41.4009,-27.0264,-41.8581,-52.7294,-42.2446,-39.8098,-39.2489,-37.8535,-40.2416,-44.9305,-44.5846,-38.7577,-41.0091,-36.336,-34.2913,-36.3658,-37.4606,-33.1009,-38.4315,-31.9606,-30.4303,-35.5279,-30.1196,-38.2441,-39.0007,-34.5033,-39.4231,-43.1724
-4191.05,0.955744,0.245328,4,15,0,4207.37,80.0036,31.6094,198.584,56.6213,78.0054,73.9808,18.7271,53.9857,17.3211,111.566,155.481,28.486,252.146,0.361173,0.0645021,0.240071,0.229488,0.171608,0.265265,0.0375389,0.160289,0.279503,0.320619,0.120412,0.0457208,0.155191,0.0278202,-1.83422,1.00455,-34.3535,-36.1387,-31.5913,-47.5683,-41.4905,-39.8094,-37.1033,-48.2485,-38.4197,-36.1759,-49.1561,-36.4157,-39.6864,-36.7564,-40.4466,-48.8004,-43.1023,-35.1305,-39.524,-45.2595,-35.1145,-40.9898,-44.5151,-40.9516,-40.5194,-33.3926,-32.3653,-38.4133,-42.4395,-33.8879,-32.4774,-38.574,-37.9348,-33.0427,-39.0325,-32.8949,-28.7147,-46.6445,-37.5589,-41.7499,-43.7468,-41.1816,-35.2977,-38.972,-35.3743,-34.1566,-29.7754,-39.0654,-35.6856,-35.8601,-45.0738,-47.3183,-35.0479,-35.5281,-32.922,-35.2516,-40.3729,-44.5731,-44.2216,-44.9518,-40.8747,-47.1492,-51.0775,-28.3057,-31.6458,-44.2038,-39.6945,-31.22,-34.6358,-35.4116,-34.1546,-30.2415,-36.9846,-35.3831,-43.7481,-31.447,-34.314,-42.0512,-39.6342,-33.6829,-42.3152,-38.6638,-41.4347,-27.3444,-41.8043,-52.7809,-41.7093,-40.7523,-39.3425,-36.6917,-40.7416,-45.573,-45.8337,-38.5953,-41.1232,-36.7421,-34.5258,-36.3281,-37.7475,-33.0936,-38.194,-32.6345,-30.6578,-35.6508,-30.1352,-38.3713,-39.1348,-34.4344,-39.543,-42.2697
-4194.66,0.963804,0.245328,4,15,0,4203.94,64.1863,28.8391,209.504,44.6217,83.3258,64.2263,23.8095,52.6884,16.1409,120.699,136.741,29.8392,140.948,0.354956,0.123888,0.188057,0.146326,0.224215,0.171586,0.0611124,0.0480377,0.317051,0.0928873,0.0837601,0.066205,0.242481,0.0635534,-1.95598,0.632516,-34.4989,-37.8809,-32.1079,-47.1938,-40.3158,-40.5645,-38.9163,-48.0034,-39.4801,-35.7714,-49.6515,-39.4418,-39.5033,-36.5313,-40.6171,-49.5043,-43.4937,-35.3124,-40.1962,-42.4633,-35.6963,-41.2864,-44.2867,-39.9051,-39.2928,-32.8799,-32.685,-38.5409,-42.0564,-33.1166,-32.6871,-38.5024,-37.6882,-32.8228,-38.9419,-32.7314,-29.183,-47.9282,-37.74,-42.7365,-44.0839,-41.314,-35.5321,-37.9028,-35.0551,-33.9202,-29.6136,-39.3543,-36.0879,-36.4793,-45.7992,-46.4559,-34.5905,-35.8012,-32.6676,-35.6939,-40.3457,-44.5581,-44.5159,-43.7346,-40.906,-45.917,-51.0679,-28.8756,-31.3034,-43.781,-40.2773,-31.1716,-34.3983,-35.8606,-34.2278,-29.8655,-37.2394,-35.2968,-44.4138,-31.4718,-33.9848,-42.1048,-40.0719,-33.4175,-43.148,-38.8274,-41.5569,-27.0841,-41.8964,-53.1843,-41.9527,-39.131,-39.3456,-37.479,-40.839,-45.2724,-44.7489,-38.8368,-41.2135,-36.5491,-34.5243,-36.6411,-37.9134,-33.7276,-38.2373,-32.4201,-30.1455,-35.6598,-30.0868,-38.691,-38.8138,-34.5026,-40.1592,-42.8702
-4194.24,0.959882,0.245328,4,15,0,4213.6,87.2826,28.5299,180.43,51.0805,67.4567,79.6856,21.7761,51.4489,17.9431,107.781,166.158,30.212,236.48,0.346954,0.070235,0.249724,0.197145,0.248561,0.206351,0.0723754,0.0940757,0.378835,0.203433,0.0735381,0.0374272,0.113404,0.0258627,-1.81321,1.02766,-33.8983,-36.3911,-31.963,-47.2333,-40.8295,-41.2505,-38.4237,-50.0319,-38.6617,-35.7502,-48.7747,-36.285,-39.0767,-36.5453,-41.6482,-48.9165,-43.5502,-34.3966,-40.3412,-42.4061,-34.8244,-40.2339,-45.177,-41.1626,-40.9942,-33.2319,-33.1094,-38.6001,-41.9066,-32.714,-31.9934,-37.7808,-38.5126,-32.6402,-38.7283,-32.7173,-30.3899,-46.9748,-37.4887,-41.4595,-44.2612,-42.3349,-36.0392,-38.824,-35.6318,-34.2046,-28.6036,-39.5735,-36.9989,-37.1022,-45.8062,-46.8496,-35.0034,-36.0574,-33.0214,-35.1443,-39.8665,-43.1919,-43.8709,-43.0644,-40.3411,-46.4522,-51.7077,-27.3987,-32.7045,-43.8728,-39.9606,-31.2916,-34.0833,-37.2793,-34.0294,-29.9789,-37.436,-34.5519,-44.813,-30.3117,-34.8359,-42.5471,-41.1584,-33.3674,-44.268,-38.5465,-41.0407,-27.118,-42.1877,-52.2298,-43.1359,-38.7207,-39.6273,-38.5113,-40.7035,-44.6501,-44.5033,-38.5011,-40.7969,-36.6716,-35.1245,-37.539,-37.148,-32.5324,-38.1187,-32.1943,-30.8125,-36.1322,-30.0899,-37.8589,-38.9621,-34.4906,-38.7889,-42.7551
-4196.31,0.96399,0.245328,4,15,0,4214.19,93.3379,27.6254,198.551,51.8226,83.2542,76.9681,20.9171,46.5735,15.9993,118.119,165.367,26.0078,206.684,0.413734,0.0147669,0.238114,0.178145,0.198444,0.146181,0.0564677,0.187474,0.376151,0.171407,0.100734,0.0465746,0.195018,0.0150331,-1.76101,1.24881,-34.344,-37.3902,-32.6664,-46.4726,-41.1891,-40.0946,-38.384,-49.4092,-39.2201,-36.4594,-49.5551,-37.4373,-39.4722,-36.6386,-40.2396,-48.9916,-44.1266,-35.3051,-40.4021,-42.6616,-34.874,-40.8703,-44.1503,-41.2476,-39.8251,-32.85,-32.4901,-38.769,-42.2601,-33.4071,-32.7051,-38.2112,-38.0147,-32.8291,-38.7806,-32.6801,-30.5072,-45.8402,-37.0044,-40.7531,-42.6024,-41.7912,-35.6037,-37.869,-35.521,-34.1461,-29.5208,-39.2716,-36.7385,-36.6175,-45.7799,-46.987,-35.0989,-35.3625,-32.8861,-35.5972,-40.8757,-43.4583,-41.7275,-43.6135,-40.905,-45.0834,-51.2324,-28.7832,-32.3935,-44.0904,-39.7084,-31.2299,-34.4584,-36.0728,-34.5237,-30.2056,-37.3421,-35.1561,-43.2451,-31.7112,-35.3073,-42.0506,-41.0351,-33.7483,-42.7298,-38.6999,-42.1476,-27.7502,-41.7176,-52.6714,-43.0218,-37.7937,-39.3769,-37.7372,-41.2854,-44.743,-44.6087,-38.7081,-41.2169,-36.276,-34.3779,-36.6591,-37.9138,-33.3978,-38.2458,-32.3277,-30.661,-36.4832,-30.105,-38.4594,-39.0493,-35.1071,-39.8116,-43.0814
