# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = cal_g_Kpsi_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/mathias/workflow_stepps_calibration/calibration/data/elicitation_neus_certainty_median_110_sites_only_abies_new_species.dump
# init = 2 (Default)
# random
#   seed = 341465640
# output
#   file = cal_g_Kpsi_EPs_110.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,gamma,log_psi.1,log_psi.2,log_psi.3,log_psi.4,log_psi.5,log_psi.6,log_psi.7,log_psi.8,log_psi.9,log_psi.10,log_psi.11,log_psi.12,log_psi.13,mu_psi,sigma_psi,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,psi.13,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110
# Adaptation terminated
# Step size = 0.285945
# Diagonal elements of inverse mass matrix:
# 0.047283, 0.00808208, 0.0267171, 0.0192037, 0.00799352, 0.0141784, 0.016759, 0.00549323, 0.0383427, 0.0386746, 0.0347925, 0.0114097, 0.200294, 0.0201165, 0.197517, 0.0430466, 0.0163944, 0.0832728, 0.0371985, 0.0534652, 0.113465, 0.0492986, 0.0650308, 0.158671, 0.0409211, 0.0256407, 0.089196, 0.0233717, 0.140292
-4208.64,0.833201,0.285945,4,31,0,4225.66,50.3491,30.1618,189.942,49.6998,67.6392,50.398,20.2153,49.5796,15.9606,118.282,131.223,29.0216,137.051,0.134323,-1.2008,-1.05065,-1.29843,-1.47076,-1.64154,-1.59566,-0.987407,-1.66969,-0.889222,-0.818304,-1.18376,-1.1643,-1.42063,-1.35903,0.303406,0.300955,0.34971,0.272959,0.22975,0.193682,0.202774,0.372542,0.188306,0.410975,0.441179,0.306124,0.31214,0.241562,-34.4689,-40.6998,-32.293,-50.3775,-40.1331,-36.4307,-40.474,-46.1248,-40.3562,-36.0991,-49.5525,-38.1021,-40.2308,-37.5877,-39.8931,-49.7876,-44.2158,-36.3484,-41.0248,-44.4533,-34.4102,-44.5842,-42.0492,-39.1445,-39.7596,-32.7694,-33.1059,-38.8481,-43.9046,-32.4315,-33.2068,-39.188,-38.3269,-33.6485,-38.9861,-32.8143,-29.2675,-53.1779,-37.1998,-43.2347,-45.1308,-42.2028,-35.8338,-37.2663,-34.838,-33.7133,-30.2255,-39.5338,-38.7402,-36.9946,-46.038,-46.3249,-34.7815,-34.6886,-32.4168,-35.6518,-40.0869,-45.3272,-42.5858,-43.3233,-41.9592,-48.0099,-51.0569,-27.7876,-31.2253,-41.7085,-38.9468,-31.1629,-35.2542,-40.4276,-33.7882,-30.6244,-37.7754,-35.8236,-44.5868,-31.5086,-34.4109,-40.8043,-40.1635,-32.5318,-37.2838,-39.521,-42.9165,-27.2671,-43.345,-53.0093,-43.5778,-39.84,-38.8084,-36.7621,-39.7401,-44.5492,-43.678,-38.4126,-41.2593,-37.5602,-34.5733,-34.1073,-39.8583,-33.156,-38.3291,-31.8527,-30.2964,-32.9857,-30.0122,-41.9652,-38.3676,-33.2766,-42.8208,-43.901
-4206.83,0.972008,0.285945,4,15,0,4219.07,80.4642,28.6455,189.832,62.0199,60.8191,62.7147,22.0459,53.0264,18.0312,135.184,133.128,30.4451,175.417,0.124304,-1.24245,-1.2444,-1.23175,-1.10639,-1.73107,-1.26516,-1.06328,-1.46378,-1.36711,-0.64852,-1.04968,-1.4555,-1.28989,-1.18695,0.301904,0.288677,0.288113,0.291781,0.33075,0.177094,0.282193,0.345321,0.23136,0.254843,0.522819,0.35005,0.233284,0.275301,-36.3445,-38.1022,-33.6073,-47.2179,-39.3323,-36.828,-39.5266,-47.0155,-39.5434,-35.9581,-49.3762,-38.7296,-38.7113,-38.1107,-38.832,-50.0506,-43.9851,-34.7717,-42.3922,-42.4578,-34.3655,-44.3838,-43.2608,-40.1478,-40.0474,-33.7812,-34.3563,-38.4877,-43.7768,-32.4755,-32.9016,-38.8527,-38.7848,-33.2471,-39.3286,-32.0166,-30.2145,-51.2931,-37.8704,-43.0964,-46.1286,-41.3893,-34.9795,-37.9815,-34.6257,-33.1875,-30.5956,-39.2081,-38.5396,-36.9778,-45.8216,-45.9529,-34.2682,-35.875,-32.4348,-35.5309,-39.6771,-46.5381,-45.5194,-42.4804,-40.9384,-46.8359,-51.474,-27.8221,-31.9381,-41.3417,-38.8552,-31.7749,-35.4139,-42.2301,-33.3618,-30.8864,-37.4078,-35.8565,-46.2168,-31.644,-35.3577,-41.0014,-41.1886,-32.5032,-37.7067,-39.0278,-42.3491,-27.1535,-43.2779,-52.8499,-44.2563,-42.2359,-38.6874,-36.7176,-39.8851,-44.11,-42.8491,-38.3856,-41.6026,-37.948,-33.6018,-34.4565,-39.254,-33.6691,-37.8794,-31.7135,-30.8467,-33.6171,-30.6611,-40.9409,-38.2125,-32.6935,-42.2741,-43.5133
-4205.34,0.922583,0.285945,4,15,0,4217.69,67.5319,26.8847,174.403,58.5359,61.8225,49.2791,21.6411,48.666,19.4287,114.933,121.38,27.6336,134.953,0.114669,-1.04828,-1.33716,-1.34033,-1.37453,-1.6932,-1.60706,-1.085,-1.74289,-0.870344,-1.00222,-1.1884,-1.08296,-1.50053,-1.36728,0.283661,0.35054,0.262589,0.26176,0.252958,0.18393,0.200476,0.3379,0.175014,0.418808,0.367064,0.30471,0.338591,0.223012,-33.5472,-40.7001,-32.4828,-49.6277,-39.4994,-36.8646,-39.8137,-46.366,-39.9848,-36.2534,-49.6117,-37.4391,-40.1159,-38.2668,-39.1757,-51.1041,-44.7775,-36.38,-40.7485,-44.2132,-34.4806,-43.4572,-42.3613,-39.2052,-39.2875,-33.3367,-34.4786,-38.8002,-42.581,-32.5627,-32.5668,-38.9631,-38.9081,-33.3608,-39.1509,-32.5515,-29.6445,-51.3108,-38.1024,-43.7756,-46.0278,-42.2831,-35.2808,-37.6825,-34.8637,-33.291,-29.9307,-39.6937,-39.6968,-36.894,-45.9498,-45.9798,-34.2901,-35.6838,-32.1912,-35.7957,-39.6983,-45.9569,-43.0542,-43.2761,-42.0245,-47.4016,-51.1726,-27.4439,-31.4292,-41.6588,-39.5699,-31.6768,-35.3332,-39.8213,-33.0583,-30.4731,-37.2065,-36.1597,-46.0166,-30.9386,-33.1349,-41.1493,-41.0961,-32.2355,-37.9591,-39.3514,-41.6242,-27.1555,-43.5557,-51.9071,-44.0139,-40.3929,-39.0421,-36.8474,-39.89,-44.092,-43.4063,-38.5886,-41.4416,-37.5841,-34.6025,-34.8161,-39.1113,-33.3184,-38.1089,-31.763,-30.9676,-32.9369,-30.5128,-41.0975,-38.2423,-33.0246,-41.5693,-44.9027
-4210.81,0.762049,0.285945,4,15,0,4227.43,76.5599,28.6892,196.694,54.6524,60.5603,64.2906,21.5025,55.0749,14.696,139.675,141.9,26.4567,167.865,0.113691,-1.13821,-1.00468,-1.14663,-1.5309,-1.69068,-1.41828,-0.813379,-1.56549,-0.845686,-0.556565,-1.05214,-1.3445,-1.21567,-1.09729,0.407819,0.320391,0.366162,0.317707,0.21634,0.184394,0.242131,0.443357,0.208985,0.429263,0.573175,0.349191,0.260671,0.29651,-34.1943,-39.0279,-32.9704,-49.9641,-40.5462,-36.4251,-40.489,-46.1875,-40.3917,-36.2596,-49.2656,-38.0042,-39.1953,-37.5264,-39.3527,-49.6181,-44.9516,-35.2903,-42.1422,-42.1375,-34.0417,-43.971,-42.8721,-39.8729,-39.697,-33.5186,-33.7663,-38.9991,-43.1916,-31.8228,-32.6971,-39.2567,-39.4713,-33.2829,-38.179,-32.2075,-29.5969,-51.9105,-37.1969,-41.9761,-47.4904,-42.5874,-35.4295,-37.6438,-35.2436,-32.9014,-31.1343,-39.8494,-40.2026,-37.5387,-46.7561,-46.0634,-34.2735,-34.7495,-31.9381,-35.4737,-39.5476,-45.2028,-44.4742,-42.8376,-40.701,-48.3315,-51.8559,-27.5688,-32.4798,-41.0893,-38.8142,-31.8527,-35.2708,-41.2731,-33.3668,-30.3053,-36.8182,-35.7421,-46.7293,-31.6965,-34.4169,-41.1397,-41.737,-32.2624,-38.0713,-39.0713,-42.4103,-27.5218,-43.6514,-53.867,-45.2949,-40.0311,-38.6543,-37.5497,-39.9514,-44.1348,-43.196,-38.2426,-41.6077,-37.3447,-33.5412,-34.2258,-39.1542,-33.4307,-37.8593,-31.2466,-30.6741,-32.7841,-29.5878,-41.0058,-38.2865,-32.5779,-42.1316,-44.7016
-4209.37,0.969638,0.285945,5,47,0,4222.61,77.0956,30.7566,208.513,47.4157,70.1214,55.6719,22.5595,52.4362,16.2874,112.354,133.631,31.6844,149.048,0.145177,-1.37576,-1.33763,-1.31219,-1.17544,-1.65885,-1.40593,-0.983574,-1.62573,-1.35909,-1.03538,-1.12485,-1.23714,-1.41628,-1.36751,0.169586,0.252648,0.262468,0.26923,0.308682,0.190358,0.245139,0.373972,0.196768,0.256894,0.355091,0.324702,0.290212,0.242614,-36.5574,-39.1306,-32.8029,-48.9342,-40.0429,-37.045,-39.6468,-45.8797,-39.1282,-35.7381,-49.5264,-38.2051,-39.8708,-38.0823,-40.0853,-50.1995,-43.6485,-35.7499,-41.823,-45.5284,-34.3179,-45.1286,-42.4025,-40.1857,-40.2703,-32.8379,-33.439,-38.0069,-43.9739,-32.6184,-32.9665,-38.6687,-38.4851,-32.8962,-39.4787,-32.5074,-30.6153,-52.7618,-37.6099,-44.3012,-45.5844,-41.1436,-34.8242,-38.2879,-34.3561,-33.6878,-30.238,-38.7073,-37.9035,-36.3813,-45.2381,-46.1445,-34.1229,-35.8606,-32.7153,-35.3484,-40.0878,-47.0004,-45.2868,-43.1704,-41.9218,-47.4346,-50.803,-27.9846,-31.0377,-41.4622,-38.7302,-31.113,-35.2255,-41.048,-33.9486,-31.0063,-37.9248,-35.7248,-45.5192,-30.899,-35.2281,-40.9287,-40.3216,-32.8781,-37.1647,-39.0416,-42.9333,-27.3262,-43.3376,-52.5816,-44.2603,-43.0393,-38.2229,-36.5937,-39.6155,-44.4974,-43.2844,-37.975,-41.7609,-37.6742,-34.3792,-34.3997,-39.5912,-33.2838,-37.5338,-31.8851,-30.2717,-33.8817,-30.573,-41.6715,-38.1884,-32.9061,-42.5965,-43.2174
-4205.33,0.925799,0.285945,4,31,0,4223.25,62.5983,25.3975,164.968,51.572,60.2847,55.8983,17.5164,51.5948,19.3814,119.126,109.025,24.3665,146.307,0.140847,-1.13725,-1.27281,-1.26851,-1.09583,-1.56282,-1.46008,-1.24487,-1.36737,-1.2132,-0.900212,-1.18211,-1.26171,-1.21822,-1.28042,0.292533,0.320698,0.280043,0.281249,0.334262,0.209544,0.232217,0.287979,0.254776,0.297246,0.406483,0.306631,0.283169,0.295756,-35.4281,-39.0267,-32.9442,-47.9325,-39.6556,-37.0127,-39.1894,-46.7207,-39.7414,-35.9826,-49.7451,-37.6256,-39.3891,-38.3606,-38.1143,-50.6457,-44.1808,-35.5244,-41.2911,-43.1127,-34.5607,-43.4118,-42.8537,-39.9554,-39.1058,-34.1516,-34.1498,-39.2701,-43.4788,-32.9472,-33.1401,-39.6714,-39.013,-33.151,-39.1298,-31.9135,-30.8939,-50.7061,-36.9802,-42.1727,-46.3827,-41.0846,-34.8379,-38.409,-35.1728,-33.44,-29.555,-39.8595,-38.5715,-36.654,-46.4253,-46.0311,-34.6788,-34.9565,-32.556,-35.97,-40.0571,-46.6465,-44.8857,-43.1237,-41.2759,-46.4531,-51.657,-27.8636,-31.9525,-41.8518,-39.0706,-31.2812,-34.8448,-42.0369,-33.9183,-30.6442,-36.9526,-36.416,-45.5479,-30.6389,-34.669,-40.925,-40.8686,-32.4025,-37.6676,-39.2377,-42.5314,-27.2728,-43.1736,-52.287,-43.6484,-41.7559,-39.1992,-37.0197,-40.696,-44.6155,-43.6429,-38.9442,-41.7394,-37.5357,-34.1259,-34.9993,-39.4244,-33.5863,-38.4087,-31.4756,-30.5338,-33.1314,-30.4524,-40.9297,-38.759,-33.2141,-41.8971,-43.8897
