# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = cal_g_Kpsi_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_101_sites_only_abies_new_species.dump
# init = 2 (Default)
# random
#   seed = 3703242550
# output
#   file = cal_g_Kpsi_Kgamma_EPs_101.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,log_psi.1,log_psi.2,log_psi.3,log_psi.4,log_psi.5,log_psi.6,log_psi.7,log_psi.8,log_psi.9,log_psi.10,log_psi.11,log_psi.12,log_psi.13,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,mu_psi,sigma_psi,mu_gamma,sigma_gamma,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,psi.13,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110
# Adaptation terminated
# Step size = 0.198964
# Diagonal elements of inverse mass matrix:
# 0.071488, 0.0141097, 0.0955534, 0.0294836, 0.00692912, 0.0179084, 0.0339746, 0.011289, 0.0329946, 0.0445023, 0.878209, 0.00959064, 1.31286, 0.489549, 0.166844, 0.0875661, 0.189503, 0.0730274, 0.0442748, 0.303282, 0.0596782, 0.280254, 0.388734, 0.532638, 0.185985, 0.170549, 0.33006, 0.0700804, 0.0881446, 0.0517018, 0.161724, 0.238797, 0.274742, 0.0273361, 0.169027, 0.265579, 0.0686061, 0.160033, 0.405922, 0.102988, 0.108983, 1.72367, 0.0607155
-4169.22,0.990506,0.198964,5,31,0,4195.81,70.33,28.4837,175.577,57.8321,58.4167,69.4056,21.0161,45.6069,19.0368,155.372,249.493,29.3481,154.455,-1.40015,-1.13766,-1.1129,-0.691969,-1.67923,-1.49036,-0.831949,-1.40517,-0.592075,-0.344317,-0.371244,-1.41756,-1.44955,0.0148247,0.233888,0.233728,0.266551,0.150111,0.0157511,0.206264,0.292695,0.210773,0.0285592,0.0281468,0.168715,0.0684771,-1.28487,0.487661,-1.80358,1.07845,0.24656,0.320567,0.328604,0.500589,0.186517,0.225291,0.4352,0.245324,0.553178,0.708704,0.689875,0.242304,0.234675,-33.528,-38.3267,-32.4747,-45.6643,-39.9598,-38.4569,-39.1534,-50.1885,-38.9228,-35.5613,-48.8249,-37.8459,-38.2412,-35.9848,-39.8413,-47.7942,-43.4759,-33.994,-39.5882,-41.8404,-34.394,-41.3995,-43.149,-40.63,-39.7514,-32.0032,-32.1326,-38.0998,-42.3525,-31.846,-32.325,-37.673,-38.0974,-33.2366,-38.4079,-31.7045,-26.2693,-47.368,-37.467,-41.9148,-43.4287,-42.1318,-35.0544,-37.7634,-36.0324,-33.6272,-29.2449,-38.9821,-38.0254,-37.1102,-45.8543,-46.8691,-35.055,-35.6018,-32.7203,-35.0446,-39.7215,-41.9446,-43.2004,-42.936,-41.6442,-46.3705,-52.5204,-27.6143,-32.722,-42.9994,-39.3271,-30.3866,-33.8874,-35.9073,-32.9353,-30.9947,-37.9891,-34.4508,-45.8465,-30.2363,-34.2993,-42.3154,-41.6668,-33.1935,-41.1488,-38.9825,-41.0526,-26.6527,-42.0053,-50.0874,-42.6985,-38.2648,-39.6195,-36.9828,-40.8908,-44.5648,-43.8457,-38.4652,-40.4506,-36.8676,-35.0793,-35.3544,-38.2915,-32.6283,-37.9632,-32.0635,-30.663,-34.603,-29.8885,-39.1487,-39.4614,-33.6659,-40.026,-43.3966
-4176.24,0.955192,0.198964,5,31,0,4194.14,94.2599,37.6437,211.172,53.6692,71.4698,62.2809,29.7585,54.1265,11.7479,173.211,293.601,30.0447,191.009,-0.329067,-0.844462,-1.21407,-1.53542,-1.59456,-1.76267,-0.78509,-1.37931,-0.883427,-0.279552,0.0226535,-1.22755,-1.23321,0.102459,0.201915,0.158305,0.0876515,0.147153,0.0558585,0.0273498,0.367348,0.27028,0.0151564,0.0419279,0.111345,0.00212182,-1.28691,0.458878,-1.51215,1.55924,0.719595,0.429789,0.296986,0.215365,0.202999,0.171585,0.456079,0.251753,0.413364,0.756123,1.02291,0.293011,0.291357,-34.0272,-40.6591,-31.3951,-49.2191,-40.2476,-39.4091,-39.8953,-47.1006,-39.2983,-36.1655,-48.3042,-36.2493,-39.2756,-35.7134,-43.3547,-49.3518,-43.2573,-34.2674,-41.5944,-43.0548,-33.2189,-41.6628,-44.2195,-39.3626,-40.3639,-32.15,-32.4891,-38.2258,-42.1976,-31.4731,-31.4196,-37.8073,-37.1111,-32.0295,-37.7792,-32.0428,-27.1546,-50.4782,-35.9647,-43.6323,-42.2239,-40.5239,-35.4299,-37.5071,-34.7392,-33.3326,-30.8488,-39.7112,-37.0534,-35.8249,-45.7208,-45.5661,-33.9152,-34.5923,-31.5726,-34.2481,-40.3472,-42.0658,-45.3731,-43.6938,-41.2812,-47.0892,-51.584,-27.9235,-32.09,-42.9964,-39.7881,-31.8689,-33.8906,-35.5804,-34.7383,-30.4024,-38.2556,-34.6236,-44.8861,-30.8038,-33.7801,-42.2075,-40.0486,-33.1897,-42.5573,-37.8041,-42.0608,-28.1807,-43.2523,-53.5956,-42.6422,-35.8183,-38.3599,-37.5107,-39.3007,-44.4961,-42.9125,-37.8367,-41.3599,-35.6337,-34.5263,-35.9255,-36.8799,-32.0733,-37.4429,-31.5095,-30.5362,-34.3136,-29.0492,-38.0789,-37.9918,-33.1174,-39.5641,-42.0656
-4171.39,0.978459,0.198964,5,31,0,4192.93,54.6943,28.263,182.627,55.3183,57.4781,56.1558,21.7349,46.7557,21.3354,176.008,256.857,28.8158,185.79,-1.30565,-1.21818,-1.03709,-0.959776,-1.63009,-1.36557,-0.967282,-1.44638,0.101004,0.00684456,-0.0109051,-0.775868,-1.56212,0.006754,0.220671,0.267173,0.256433,0.191749,0.0804942,0.0946044,0.277472,0.202279,0.0708373,0.0245174,0.299409,0.0196087,-1.05025,0.664065,-1.80481,1.48021,0.270996,0.295768,0.354484,0.382979,0.195911,0.255236,0.380115,0.235422,1.10628,1.00687,0.989154,0.460304,0.20969,-32.4234,-37.9948,-32.1149,-46.6968,-40.6529,-39.1691,-38.528,-49.2603,-38.6987,-36.0071,-49.0397,-38.2061,-38.9386,-35.4285,-38.805,-47.4822,-43.9192,-34.7706,-38.0263,-44.1896,-35.3503,-40.9989,-43.2851,-40.3344,-39.0172,-31.7685,-31.4839,-38.3782,-42.0194,-32.9925,-32.2318,-38.1095,-38.1374,-33.3308,-38.4809,-31.6701,-28.4083,-47.233,-38.071,-41.6503,-43.0868,-42.3877,-35.6014,-38.2412,-35.935,-33.6068,-28.3718,-39.6024,-37.123,-35.9898,-46.2121,-46.6842,-34.698,-35.3465,-32.8377,-35.2762,-39.9679,-42.7116,-41.1649,-43.093,-41.5677,-45.8079,-51.5603,-27.5011,-32.1916,-42.1943,-40.3782,-30.5644,-34.2062,-37.8518,-32.5245,-30.606,-37.1199,-35.6033,-46.3167,-29.6861,-32.979,-42.2296,-41.4069,-32.5036,-41.8535,-38.7828,-40.7708,-26.1551,-42.0991,-50.4125,-41.7309,-37.6379,-39.9661,-37.2802,-40.6631,-44.591,-43.9174,-38.9725,-40.5591,-36.3583,-35.4942,-35.1914,-38.0711,-33.06,-38.7087,-32.3457,-30.3493,-34.5173,-29.5805,-39.127,-39.1031,-33.9357,-40.3462,-43.1365
-4172.8,0.8995,0.198964,5,31,0,4200.67,79.3305,30.1252,201.938,63.7302,61.2051,61.9558,17.5789,47.1964,12.6662,161.575,293.264,28.8972,192.676,-1.17385,-0.985352,-1.00905,-0.307952,-1.68889,-1.45857,-1.24212,-1.6619,-0.79349,0.0397414,0.187286,-1.287,-1.56011,0.0116373,0.236463,0.231951,0.217601,0.202338,0.0423281,0.161027,0.243274,0.272263,0.0494367,0.0201977,0.294213,0.00809479,-1.24263,0.71,-1.98257,1.65354,0.309173,0.373308,0.364566,0.73495,0.184724,0.232569,0.288772,0.189777,0.452264,1.04054,1.20597,0.276099,0.210113,-34.1673,-39.0483,-31.8674,-45.1534,-40.5514,-38.7287,-38.1341,-48.1566,-39.4811,-35.9381,-48.8478,-39.4283,-39.0204,-35.9366,-40.6046,-47.0514,-43.8613,-34.41,-38.7927,-42.7899,-35.515,-42.2447,-43.9256,-41.0678,-40.3135,-31.5593,-31.4796,-38.037,-42.2235,-32.3099,-32.0608,-37.8198,-38.3307,-33.1689,-38.5253,-31.8022,-27.1984,-46.8709,-36.8045,-41.292,-43.8082,-42.7226,-35.1267,-37.6174,-36.5224,-33.5207,-29.4798,-38.9791,-37.7363,-36.6862,-45.8599,-47.0653,-34.7568,-35.0052,-32.8288,-34.8223,-39.6412,-41.5264,-41.562,-43.358,-41.9712,-47.8862,-52.009,-27.4146,-32.5118,-41.7623,-39.6754,-30.3525,-34.2918,-36.5625,-32.2788,-30.3401,-37.4262,-34.7248,-45.7288,-29.7567,-32.5893,-42.3632,-40.612,-33.0608,-41.1237,-39.0262,-40.6507,-26.2728,-41.8598,-51.0721,-42.4311,-36.5658,-39.2893,-37.0235,-40.0872,-44.7009,-44.1807,-38.2915,-40.2303,-36.5012,-35.0156,-34.8706,-38.1537,-32.6135,-37.7594,-31.8109,-30.7502,-33.9036,-29.8569,-39.2281,-39.2841,-33.5118,-40.1843,-43.0173
-4163.78,0.969516,0.198964,5,31,0,4184.32,95.6383,37.3766,204.813,79.1926,70.6691,62.1396,32.7624,56.4621,23.7594,171.669,259.116,33.0654,152.846,-0.721966,-0.79711,-1.14069,-0.0224105,-1.57016,-1.56485,-0.150965,-1.01398,-0.80331,0.105075,-0.284247,-1.3522,-1.40419,0.0972678,0.203635,0.166559,0.142676,0.133232,0.0744338,0.0971439,0.3647,0.175105,0.0683089,0.0379866,0.172915,0.045627,-0.609896,0.499481,-1.37495,0.879249,0.485796,0.450629,0.319599,0.977839,0.208012,0.209119,0.859877,0.362771,0.447844,1.11079,0.752581,0.25867,0.245565,-33.5504,-39.2686,-32.8739,-43.9033,-38.6585,-39.4209,-38.3885,-49.0633,-39.3189,-35.8512,-48.4468,-38.4411,-37.9227,-35.8353,-40.8232,-48.2518,-42.7433,-33.8525,-42.1116,-42.5086,-34.3527,-39.9282,-44.023,-39.3512,-39.6502,-32.0288,-32.0106,-37.7443,-41.3829,-31.9054,-31.7003,-37.8198,-37.1572,-32.2308,-38.475,-32.0279,-27.5953,-47.8053,-36.602,-42.4564,-41.7347,-41.6231,-35.1783,-37.4422,-34.9145,-33.7845,-30.226,-38.9773,-36.6004,-36.9007,-45.6218,-45.8972,-34.4609,-35.2314,-32.6912,-34.507,-40.054,-43.0807,-44.5673,-43.2033,-40.4007,-46.6196,-51.9291,-28.2124,-32.2101,-44.101,-39.9576,-31.4935,-34.0308,-36.8838,-33.9967,-30.7637,-37.8932,-34.9291,-44.477,-30.372,-34.3953,-42.6707,-41.1613,-33.12,-43.8378,-37.8189,-41.522,-27.5832,-42.7856,-52.4425,-42.8329,-37.8517,-38.8218,-37.5395,-40.4741,-44.8575,-43.6785,-38.2352,-41.3874,-35.9798,-34.2119,-36.3723,-36.7316,-32.7192,-37.5711,-31.6181,-30.8338,-35.9976,-29.6115,-37.5068,-38.859,-33.7135,-39.4629,-42.6767
-4162.46,0.994734,0.198964,4,15,0,4175.18,107.491,32.7712,217.429,83.0419,64.5952,53.6963,31.6639,54.0477,18.3434,177.285,285.634,28.5082,238.378,-0.365967,-1.05796,-0.949598,-0.597896,-1.66224,-1.53956,-0.129671,-1.27166,-0.887479,-0.208416,0.203579,-1.02887,-1.18357,0.0765631,0.154034,0.168693,0.124529,0.188222,0.0982573,0.0925696,0.315842,0.139139,0.0442018,0.0363377,0.199973,0.0284153,-1.02618,0.797733,-1.98146,0.76156,0.693526,0.347162,0.386896,0.549968,0.189713,0.214475,0.878384,0.280366,0.411692,0.811869,1.22578,0.357411,0.306182,-33.4944,-38.8633,-31.7164,-44.2455,-39.5242,-39.0057,-36.9942,-48.314,-39.2021,-36.3815,-48.4821,-37.366,-38.1164,-36.468,-40.8931,-49.4466,-43.3365,-34.3407,-41.8485,-42.6344,-34.0837,-41.4823,-43.889,-39.7284,-39.476,-32.5326,-32.3417,-38.381,-42.0453,-32.7905,-31.7395,-38.3216,-37.219,-32.6301,-38.0703,-32.0104,-28.5303,-48.6973,-37.0922,-42.5176,-42.6843,-41.1726,-35.1337,-37.1008,-34.8647,-33.4667,-30.4761,-39.318,-36.5048,-36.0306,-45.7391,-46.0593,-34.1208,-34.8235,-32.4917,-34.4915,-39.7694,-42.5429,-43.9841,-43.419,-40.5249,-46.8138,-50.7307,-27.9964,-32.3193,-42.06,-39.9388,-31.6011,-34.5985,-37.2291,-33.5585,-30.6716,-37.2194,-35.5165,-45.361,-30.3444,-33.7455,-42.0609,-40.5022,-32.921,-42.6635,-38.1278,-41.3218,-27.0047,-42.0435,-51.47,-42.7228,-37.7351,-38.8842,-37.5873,-40.0028,-44.6942,-43.6558,-38.2431,-40.7841,-35.9409,-34.4829,-35.6317,-37.1609,-32.8894,-37.9056,-31.9915,-30.909,-34.6994,-29.8089,-38.2396,-38.4579,-33.234,-40.365,-42.5425
