# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = cal_pl_Kgamma_EPs_modified_a_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_101_sites_only_abies_new_species.dump
# init = 2 (Default)
# random
#   seed = 3703417396
# output
#   file = cal_pl_Kgamma_EPs_modified_a_101.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,mu_gamma,sigma_gamma,a,b,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110
# Adaptation terminated
# Step size = 0.0770095
# Diagonal elements of inverse mass matrix:
# 0.0198293, 0.00636975, 0.0499694, 0.0159952, 0.00755653, 0.0141658, 0.00915834, 0.00458811, 0.0419912, 0.0128231, 0.0278902, 0.0104354, 0.547864, 0.573417, 0.185198, 0.104667, 0.074855, 0.0446485, 0.371521, 0.623965, 0.0388724, 0.289308, 0.278401, 0.155481, 0.17764, 0.815055, 2.54017, 0.137675, 1.29003, 6.74171
-4184.51,0.997545,0.0770095,6,63,0,4196.61,85.0032,36.6418,209.605,57.9455,82.9768,94.4172,24.2559,57.3342,18.5147,130.392,156.231,34.0739,284.042,0.015256,0.110514,0.212619,0.121151,0.204513,0.018205,0.0882856,0.266173,0.141673,0.0291786,0.0412922,0.256172,0.0256484,-1.8632,1.31278,0.113017,2.07116,-33.7485,-36.1372,-32.0134,-45.8159,-40.5125,-39.7025,-37.998,-47.7447,-38.3319,-35.2672,-48.7895,-40.0741,-39.5208,-36.7735,-41.925,-48.451,-43.6673,-35.1192,-40.5695,-46.7161,-36.1181,-40.4847,-44.7056,-40.878,-39.6165,-32.9325,-32.7418,-37.9998,-41.7469,-33.0755,-31.6744,-38.5007,-37.3729,-32.4314,-39.0278,-32.2852,-27.7853,-48.1619,-36.5737,-43.0916,-43.8869,-41.9848,-34.7036,-38.1614,-35.449,-33.7302,-30.0377,-38.6744,-36.509,-36.3793,-44.0703,-46.2384,-34.0556,-35.1421,-32.3099,-34.8377,-40.0854,-44.3611,-44.5592,-44.787,-41.6748,-46.5551,-50.1585,-27.934,-30.7245,-42.9623,-39.7507,-32.1062,-33.9696,-35.341,-34.9405,-30.5587,-37.24,-34.3279,-43.3849,-30.3769,-33.8627,-41.6427,-40.0342,-32.7625,-42.8469,-38.7294,-41.1772,-28.3718,-42.6119,-50.4214,-42.9015,-42.3759,-38.8504,-37.3414,-40.1999,-45.3379,-44.8225,-38.21,-41.2467,-36.2941,-33.9691,-36.3424,-37.2802,-32.3507,-37.8186,-31.8389,-30.5451,-34.3581,-30.5331,-38.0237,-38.796,-34.4466,-38.9038,-43.5828
-4175.59,0.989667,0.0770095,6,63,0,4196.53,75.5219,29.8806,210.368,52.6885,84.5203,58.9756,21.9322,55.5842,14.6741,111.541,142.014,34.231,151.1,0.079133,0.158488,0.11291,0.154038,0.167957,0.13586,0.103818,0.272306,0.218676,0.0704052,0.0471746,0.124245,0.0528501,-1.70642,1.034,0.224465,3.19851,-33.91,-37.8058,-32.1985,-46.5257,-39.2155,-41.1276,-38.9962,-47.9998,-39.2446,-35.4789,-48.9587,-38.2073,-39.5864,-36.9211,-42.4927,-48.8147,-43.802,-34.9974,-40.7086,-45.2737,-34.5532,-41.3912,-45.3997,-40.2872,-40.0814,-32.259,-32.6528,-37.9702,-42.205,-32.0815,-31.9036,-38.3922,-36.7998,-32.7416,-38.5973,-32.4626,-31.2868,-47.8637,-37.2908,-43.6746,-43.5366,-41.1462,-34.9565,-37.574,-34.6819,-33.6144,-28.4432,-38.631,-35.9023,-36.424,-44.7906,-46.2742,-34.0678,-35.2487,-32.2802,-35.1989,-39.6442,-45.4037,-44.6552,-43.6419,-41.5518,-47.1405,-50.4278,-27.4741,-30.7251,-42.5737,-39.6343,-32.0074,-34.2435,-39.4873,-34.7646,-29.7279,-37.6956,-34.1409,-43.1884,-30.5202,-33.1761,-41.5985,-39.3681,-32.5086,-42.778,-39.0567,-41.3112,-27.6419,-41.9989,-53.0505,-42.8342,-40.2193,-38.7468,-37.6216,-39.271,-44.7941,-43.9928,-37.8995,-40.6109,-36.1654,-34.9266,-37.2423,-37.5437,-32.4176,-37.5638,-31.5247,-30.6952,-34.0681,-30.2639,-38.667,-38.2564,-33.9453,-39.4063,-43.5405
-4173.88,1,0.0770095,6,63,0,4188.91,67.7196,30.4252,191.816,52.136,71.9693,71.3624,21.3707,51.0833,18.0908,111.507,129.847,29.6849,227.402,0.118003,0.115529,0.153308,0.171262,0.141094,0.0623936,0.123015,0.288451,0.0964898,0.0862373,0.05821,0.13407,0.0410347,-1.96656,0.678835,0.208909,3.03205,-33.6214,-37.112,-33.0473,-46.6717,-39.9241,-40.0789,-39.3514,-48.6024,-38.6547,-34.9529,-48.9091,-37.849,-39.7273,-37.0551,-41.0089,-49.3883,-44.1072,-35.3387,-40.0868,-45.6731,-34.8624,-41.0417,-44.8201,-40.2299,-39.4577,-33.115,-33.399,-38.4079,-42.1254,-32.3556,-31.9779,-38.7224,-37.5197,-32.7523,-39.2335,-32.2098,-28.6514,-48.1756,-37.0702,-42.9425,-43.665,-41.0724,-34.9405,-37.9995,-35.1539,-33.3246,-28.8325,-39.1671,-37.0806,-36.4338,-44.8563,-46.3103,-34.149,-34.9497,-32.381,-35.2913,-39.4217,-45.5539,-43.3958,-42.7495,-41.5463,-45.2555,-50.521,-27.4483,-31.2811,-42.1023,-39.8107,-32.0393,-34.1181,-37.4375,-33.9686,-30.0724,-37.491,-34.5076,-44.2554,-29.7659,-33.697,-41.4434,-40.91,-32.2414,-42.1865,-39.1745,-41.1399,-27.4422,-42.4416,-51.7376,-43.5276,-40.7302,-39.3016,-37.9438,-40.0528,-44.2771,-43.3662,-38.3795,-40.7111,-36.359,-34.8436,-37.1765,-37.825,-32.6166,-37.9522,-31.6122,-30.7555,-33.9344,-30.5933,-38.8464,-38.3183,-33.9317,-39.4751,-43.5807
-4176.49,0.95297,0.0770095,5,31,0,4186.43,62.1646,29.0051,179.877,52.1377,77.386,69.6801,23.865,50.9241,18.3909,109.321,132.859,28.8577,248.092,0.0558708,0.154104,0.161851,0.175192,0.16646,0.0841684,0.111826,0.25729,0.106166,0.0845313,0.0559154,0.122172,0.0394309,-1.82976,0.760834,0.316682,3.36957,-33.8379,-37.2817,-32.4264,-45.9749,-40.0275,-39.6595,-38.2672,-48.7003,-39.0116,-35.8417,-48.9354,-37.552,-39.3873,-37.3994,-40.3661,-49.6022,-43.9675,-35.5971,-40.2521,-44.3187,-34.94,-41.089,-44.2148,-40.1646,-39.4677,-33.3796,-33.6911,-38.8667,-42.4045,-33.0744,-32.4681,-38.9011,-37.5778,-33.1355,-39.0145,-32.4166,-30.0336,-47.5865,-36.686,-42.2007,-43.4018,-41.0241,-35.1934,-37.9532,-35.2885,-33.7617,-28.6333,-39.1495,-36.7162,-36.5278,-44.711,-46.418,-34.6239,-34.9734,-32.5861,-35.6698,-40.0494,-44.3618,-42.41,-43.8691,-41.8036,-46.1103,-50.297,-27.7081,-31.192,-42.9484,-39.8341,-31.5878,-34.1909,-38.4704,-34.1884,-30.237,-37.2928,-34.8269,-43.4238,-30.4634,-33.764,-41.417,-39.9271,-32.542,-41.5388,-38.9706,-41.4007,-27.6135,-42.2272,-51.0437,-42.3361,-39.8532,-39.5451,-37.274,-40.4995,-44.9169,-44.4591,-38.7948,-40.9746,-36.6986,-34.5049,-36.3155,-38.0779,-32.9066,-38.3815,-31.9874,-30.4735,-34.1403,-30.732,-38.9786,-38.844,-34.2623,-39.7643,-43.3278
-4179.17,0.936827,0.0770095,6,95,0,4193.07,88.4859,32.6533,224.785,57.087,82.6619,66.8617,20.7519,56.8434,14.1044,117.806,165.305,32.4583,166.775,0.0797513,0.173553,0.11785,0.170897,0.170767,0.0492528,0.0560421,0.265068,0.36692,0.0855579,0.0397487,0.0628265,0.0398979,-1.82436,1.0301,0.293574,3.61208,-34.2528,-37.1527,-32.0718,-47.0386,-39.8413,-40.6339,-38.9921,-48.8204,-38.7852,-35.5202,-48.7544,-36.1953,-39.8444,-36.7198,-42.9848,-48.9589,-43.9398,-34.7927,-41.0636,-46.4262,-34.1327,-41.7646,-44.9203,-40.6802,-41.0435,-32.7059,-32.8744,-37.6406,-42.8345,-31.7449,-31.8802,-37.8786,-37.0872,-33.1499,-38.2646,-32.775,-28.5858,-48.3996,-38.2193,-43.8543,-44.5701,-41.1863,-34.8886,-37.914,-34.5418,-33.8622,-29.2514,-38.7845,-36.3352,-36.2628,-45.3522,-46.7144,-34.3202,-35.9764,-32.2733,-34.8122,-39.3739,-45.7495,-45.4911,-42.9679,-41.1166,-46.7518,-50.9274,-27.6828,-31.2344,-42.2359,-38.9132,-31.5224,-34.5219,-35.4955,-35.0294,-29.9321,-37.4369,-33.8187,-43.4432,-31.4295,-34.0151,-41.0199,-40.4828,-32.9157,-42.302,-38.8459,-41.2327,-27.5099,-42.0797,-53.9586,-43.9363,-40.963,-38.4306,-37.8151,-39.1779,-44.54,-43.6136,-37.3989,-40.1437,-36.4992,-34.984,-36.7148,-37.5781,-32.017,-37.1945,-31.714,-30.6702,-33.934,-29.604,-38.547,-37.9295,-33.7994,-39.2604,-43.5678
-4177.98,0.999647,0.0770095,6,63,0,4201.15,76.6027,30.3117,217.035,42.9714,84.7371,68.4241,26.2102,56.3857,15.3226,106.731,143.939,32.9065,220.283,0.0241266,0.157255,0.112772,0.251263,0.145331,0.0434109,0.0667605,0.28688,0.199913,0.074683,0.0487165,0.117468,0.0328872,-1.96257,1.1908,0.141209,2.49613,-33.9645,-37.4138,-32.3634,-46.4931,-40.0384,-41.3738,-39.2396,-48.7464,-38.8691,-35.5653,-48.6991,-37.8065,-39.6116,-37.1063,-42.5193,-48.793,-43.9198,-35.3625,-40.9031,-45.9264,-34.5731,-41.4695,-44.871,-40.5225,-40.2749,-32.4575,-33.1743,-38.2441,-42.1996,-32.1774,-32.0596,-38.5836,-37.0294,-32.7917,-38.757,-32.5892,-28.237,-47.8696,-36.529,-43.5031,-43.1303,-40.8461,-34.9996,-37.7823,-34.8334,-33.7416,-28.7713,-38.6231,-36.2592,-36.6799,-44.4245,-46.5342,-34.0546,-35.3157,-32.586,-35.3101,-39.6747,-44.4405,-43.5333,-43.3262,-41.9995,-46.7498,-49.8551,-27.3537,-31.1209,-42.5928,-39.716,-31.7486,-34.0948,-35.3789,-33.8244,-29.7448,-37.7838,-34.0252,-43.6467,-29.9606,-33.5253,-41.4001,-39.7748,-32.548,-43.4067,-39.2264,-41.0766,-27.5199,-42.0984,-52.2979,-42.9714,-40.2849,-38.9861,-38.03,-39.8187,-44.7747,-44.1149,-38.0047,-40.3148,-36.4654,-35.2505,-37.3849,-37.7588,-32.4824,-37.3454,-31.8531,-30.6765,-33.9524,-30.4247,-38.7768,-38.3654,-34.1308,-39.3385,-43.2361
