# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = cal_pl_modified_a_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/mathias/workflow_stepps_calibration/calibration/data/elicitation_neus_certainty_median_110_sites_only_abies_new_species.dump
# init = 2 (Default)
# random
#   seed = 329027263
# output
#   file = cal_pl_modified_a_110.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,gamma,a,b,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110
# Adaptation terminated
# Step size = 0.302723
# Diagonal elements of inverse mass matrix:
# 0.0103516, 0.00659376, 0.0385662, 0.0118553, 0.00691282, 0.0125214, 0.00710682, 0.00515714, 0.0382512, 0.0109945, 0.00881295, 0.013142, 0.305659, 0.0664457, 0.0865666, 1.12804
-4200.3,0.941007,0.302723,4,15,0,4208.17,67.0445,34.1669,230.522,54.471,94.6505,65.4021,21.3733,62.5806,20.82,120.072,128.111,39.4934,182.573,0.085879,0.0518396,2.0842,-34.6862,-37.846,-33.1824,-46.3647,-38.8053,-37.6608,-39.9081,-46.4,-39.0646,-35.0284,-48.9457,-39.299,-40.1086,-37.4304,-41.336,-49.7701,-44.3865,-35.6886,-42.0859,-48.558,-34.3166,-43.7661,-42.6513,-39.3011,-39.4219,-33.2687,-33.5236,-38.0831,-42.3453,-32.1117,-32.3707,-39.4334,-36.7136,-33.1234,-39.3795,-32.8793,-30.882,-50.6314,-36.9445,-45.5108,-44.1636,-41.1052,-34.5822,-38.379,-33.8641,-33.4101,-29.9254,-38.9112,-36.7793,-36.5381,-44.6658,-46.2068,-33.8571,-34.973,-32.1546,-35.4374,-39.7754,-47.5353,-46.5522,-43.5786,-42.5981,-46.6031,-49.5419,-28.1235,-30.4905,-41.1739,-39.0131,-31.6364,-34.7869,-38.8141,-35.1044,-30.3319,-37.4946,-34.565,-43.4882,-31.6111,-33.0927,-41.2332,-40.356,-32.2406,-38.1966,-39.6681,-42.4206,-28.4015,-43.4987,-52.564,-44.4354,-44.2242,-38.2526,-37.197,-38.8319,-44.7212,-43.1934,-37.6483,-41.1675,-37.511,-34.5266,-34.5108,-39.455,-32.4578,-37.8209,-31.5491,-30.1139,-32.5057,-30.3274,-41.2951,-37.9305,-33.5892,-41.1157,-44.6688
-4198.11,0.87131,0.302723,4,15,0,4209.17,67.7628,30.1047,199.439,56.1457,85.8625,66.4273,22.245,58.4787,19.2771,103.462,126.351,35.533,161.201,0.0760356,0.0494257,2.05489,-34.6689,-38.0633,-32.877,-46.0155,-38.7601,-37.6824,-39.6387,-47.0532,-39.7972,-35.4627,-48.9056,-38.8317,-39.5709,-37.5011,-41.3122,-49.8365,-45.0498,-35.3415,-42.3001,-46.0426,-34.5771,-43.8305,-42.6834,-39.7996,-39.8871,-33.3115,-33.9193,-38.396,-42.706,-31.9925,-32.6269,-39.1233,-36.7239,-33.5133,-38.989,-32.9793,-30.7006,-49.6382,-36.7371,-44.4922,-43.8272,-41.6263,-34.6164,-37.7023,-34.2484,-33.502,-29.4808,-38.8846,-37.3836,-36.919,-44.7315,-46.398,-34.2225,-35.4405,-32.276,-35.7705,-39.7656,-46.2483,-45.9452,-43.5748,-42.2153,-46.3614,-49.7853,-27.6756,-30.925,-41.7084,-38.9112,-31.6895,-34.9668,-38.7611,-34.9014,-30.4863,-37.3061,-34.5717,-42.5925,-31.6534,-33.4044,-40.6801,-40.4096,-32.4457,-37.9464,-39.8584,-42.403,-28.5521,-43.0374,-51.6586,-44.9409,-41.744,-38.6016,-37.5166,-39.0256,-44.2015,-43.3049,-37.9572,-40.9371,-37.8568,-34.6038,-34.5564,-39.6221,-32.4493,-37.9903,-31.5802,-30.4771,-32.6789,-30.4268,-41.3648,-37.9708,-33.7354,-41.0121,-45.4767
-4201.4,0.889191,0.302723,3,7,0,4207.49,67.9427,29.4784,206.039,51.3691,83.2144,70.3979,21.4731,61.0047,16.4172,104.668,124.157,40.2794,177.554,0.0758759,0.0508006,2.05958,-34.7957,-37.9093,-33.4645,-45.9712,-39.0318,-38.0587,-40.3846,-46.6898,-39.8128,-35.2109,-48.932,-39.7339,-39.668,-37.517,-41.4371,-49.3297,-45.278,-35.2987,-42.0954,-45.7754,-34.8786,-43.7558,-43.0002,-39.8665,-39.9356,-33.3489,-33.6534,-38.4831,-42.5035,-31.6537,-32.5282,-39.231,-36.9947,-33.1786,-39.1433,-32.8967,-30.8626,-49.2366,-36.2527,-44.4315,-44.2468,-41.9241,-34.7547,-37.9333,-34.4112,-33.6001,-29.5859,-39.0715,-37.7079,-37.4384,-44.9776,-46.369,-34.0911,-35.1262,-32.34,-35.6702,-39.9396,-46.089,-46.0382,-43.3619,-41.9639,-46.6406,-49.6074,-27.6877,-31.0839,-41.5463,-38.8407,-31.4473,-34.6044,-38.8443,-35.1176,-30.1944,-37.2712,-34.5633,-42.7617,-30.9389,-32.8551,-41.1455,-40.7521,-32.3876,-38.2434,-39.7021,-42.2968,-28.6969,-43.8419,-52.2247,-45.0219,-42.0165,-38.5957,-37.7497,-39.0872,-44.3589,-43.3745,-37.7991,-41.416,-37.7845,-34.6413,-34.5602,-39.4222,-32.3323,-37.7187,-31.5353,-30.2136,-32.7728,-30.3361,-41.1415,-38.1259,-33.6714,-40.7462,-45.474
-4204.71,1,0.302723,3,15,0,4208.04,72.9778,34.3144,220.101,63.8143,85.1935,55.0064,21.4572,59.3568,21.4914,113.199,119.057,29.9586,151.675,0.0712125,0.0397637,2.00236,-34.2442,-38.0149,-33.0354,-46.7581,-38.8109,-37.7852,-39.6903,-46.9035,-39.1671,-35.0101,-49.3202,-37.6537,-40.5958,-37.7052,-41.0835,-50.9591,-44.8499,-35.8632,-41.6455,-49.289,-34.1712,-43.5752,-43.0463,-39.7638,-39.4627,-33.5366,-33.9432,-38.2156,-42.1331,-32.3483,-32.1978,-39.3751,-37.0258,-33.3844,-39.3923,-32.8304,-29.4847,-49.5911,-38.0076,-46.0363,-43.9302,-40.7743,-34.5531,-38.6962,-34.303,-32.8406,-29.807,-39.0535,-37.0422,-35.6159,-44.6563,-46.3016,-33.7235,-35.7436,-32.06,-35.5538,-39.2763,-48.2344,-47.1477,-42.9591,-42.9295,-45.0691,-50.3081,-27.7488,-31.0558,-41.1478,-39.6263,-32.5005,-35.4564,-37.8991,-33.8269,-30.1374,-36.9407,-35.031,-44.2828,-31.8987,-33.0783,-40.913,-40.7403,-32.2104,-38.6024,-40.0721,-41.8312,-27.5564,-42.2085,-52.5006,-44.7481,-43.5247,-38.5843,-37.3921,-38.6277,-43.5528,-42.3652,-37.9515,-40.276,-37.5268,-34.3018,-34.8325,-39.2296,-32.8339,-38.1378,-31.7879,-30.8795,-32.4403,-30.4043,-41.0858,-37.3952,-33.698,-41.0022,-45.1128
-4199.98,0.998197,0.302723,4,15,0,4210.83,62.3089,28.5189,204.555,46.4345,81.4935,67.7332,20.4796,59.0072,17.7684,105.595,120.737,33.2182,163.222,0.0765885,0.0492485,2.26952,-34.5727,-37.9401,-33.0274,-46.9832,-39.0897,-38.2053,-40.4382,-46.638,-39.4384,-34.7625,-49.0069,-38.6669,-40.3593,-37.3644,-41.7995,-49.5038,-45.7953,-35.6374,-41.3523,-48.3631,-34.3314,-44.0033,-43.1837,-39.9687,-39.5778,-33.1134,-33.5002,-38.3474,-42.4613,-31.8425,-32.2701,-39.408,-36.6843,-33.0129,-39.2803,-32.2331,-30.1992,-50.6216,-35.777,-44.1973,-44.2913,-41.544,-34.2523,-37.9023,-34.5162,-33.3624,-28.5144,-38.8543,-37.8072,-36.8475,-44.7339,-46.3728,-33.9844,-34.5763,-31.9972,-35.561,-39.9151,-47.0308,-45.7515,-43.9074,-42.7813,-46.5971,-49.9184,-27.1889,-30.8624,-41.2243,-38.6483,-31.4678,-34.4498,-39.2411,-35.1655,-29.9274,-37.5914,-34.463,-42.8379,-30.2735,-32.7936,-40.7982,-40.9064,-32.0906,-38.1402,-40.0867,-42.5832,-29.2496,-43.7967,-52.013,-45.9004,-42.5581,-38.5893,-38.2647,-39.0689,-44.5307,-43.6702,-37.7539,-41.226,-37.3827,-34.8328,-34.9854,-39.567,-32.0838,-37.5964,-30.9899,-30.3462,-32.0889,-30.3662,-41.5059,-38.0032,-33.5445,-40.8217,-46.287
-4198.35,0.690142,0.302723,4,15,0,4206.81,70.2052,34.0713,216.416,58.1403,82.3127,59.9124,20.6696,60.8088,17.219,112.228,125.742,30.6637,155.599,0.101457,0.0540447,2.11987,-34.3631,-37.6101,-33.0343,-46.6808,-39.2935,-37.4888,-39.6784,-47.3004,-39.1579,-35.04,-49.0685,-38.1449,-40.3803,-37.7614,-41.2633,-50.4462,-44.8376,-35.6911,-42.0893,-48.8247,-34.2579,-44.0022,-42.8393,-40.0418,-39.5382,-33.4406,-33.5322,-38.1816,-43.0372,-32.0719,-32.1917,-39.0736,-37.3035,-33.1237,-38.7797,-32.4297,-30.3434,-51.7067,-37.5409,-45.0102,-44.1087,-40.9085,-34.6423,-38.9494,-34.1308,-32.8911,-29.2602,-39.0165,-37.0987,-35.6155,-44.8767,-46.2856,-33.7097,-35.2079,-32.0784,-35.2721,-39.1504,-48.4046,-46.7811,-42.9453,-42.6154,-45.7721,-50.4822,-27.4255,-30.8869,-41.1747,-38.8222,-32.0573,-34.9609,-39.3897,-33.9445,-30.2589,-36.8678,-34.7177,-44.159,-31.0162,-34.2569,-40.2195,-40.7413,-31.9488,-37.8087,-39.6969,-42.2283,-27.7578,-42.6037,-52.6132,-45.2597,-43.8546,-38.4919,-37.7757,-38.8631,-43.8204,-42.7551,-37.7302,-40.3763,-36.9869,-34.4478,-34.9439,-39.4314,-32.4461,-37.8269,-31.4389,-30.5056,-32.4915,-29.8693,-41.3442,-37.4654,-33.2608,-41.3982,-44.7688
-4200.01,0.8178,0.302723,4,15,0,4209.35,70.7944,30.7793,220.485,58.4273,90.5494,69.3362,23.5865,63.9507,23.0656,118.923,127.396,37.8538,184.28,0.0656736,0.0378891,2.03599,-34.2431,-37.7475,-33.3647,-46.436,-38.607,-37.9277,-40.0387,-46.7058,-39.2491,-34.8941,-48.9131,-38.8004,-40.0331,-37.521,-41.6289,-49.7118,-45.3937,-35.5622,-42.0386,-48.6538,-34.2336,-43.356,-42.8801,-39.3687,-39.3137,-33.1592,-33.8466,-38.1813,-41.682,-31.944,-32.0644,-39.5102,-36.6124,-32.9884,-39.5269,-32.5988,-30.4155,-50.2855,-36.5546,-44.7158,-44.6042,-41.6077,-34.4892,-38.0177,-34.2551,-33.066,-29.3625,-38.7984,-37.6402,-37.0127,-44.8253,-46.0662,-33.6198,-35.0784,-31.7384,-35.4458,-39.5719,-47.3465,-46.5391,-43.7279,-42.4412,-46.8115,-49.4949,-27.4428,-30.9324,-41.2147,-39.0741,-31.7915,-34.6649,-38.3099,-34.8539,-29.8312,-37.4235,-34.6617,-43.7168,-31.2535,-32.4853,-41.2684,-41.0772,-31.9352,-38.5474,-39.6964,-42.1302,-29.1461,-43.8181,-52.5634,-45.7767,-43.5508,-38.3752,-38.0043,-38.7726,-44.4236,-43.3167,-37.5794,-41.1314,-37.498,-34.441,-34.6402,-39.1156,-32.2032,-37.7214,-31.1705,-30.2822,-32.2118,-30.7327,-40.9831,-37.9107,-33.6174,-40.4724,-46.2407
-4204.48,0.948754,0.302723,3,15,0,4207.84,72.3133,37.3057,238.892,57.6539,83.3862,64.2267,22.5874,66.159,21.6727,120.597,125.96,37.0891,219.685,0.0905412,0.0382238,2.00925,-34.0121,-37.0005,-33.8539,-46.8516,-38.9417,-37.623,-40.289,-46.9494,-38.355,-34.4188,-48.8443,-38.8118,-40.5447,-38.1033,-41.5356,-50.1219,-44.7399,-35.7213,-41.8083,-50.922,-34.3275,-43.4111,-42.9705,-39.5383,-39.3368,-33.5472,-33.6775,-38.0066,-41.9656,-31.9545,-31.7469,-39.3558,-37.5772,-32.6606,-39.5116,-32.4484,-30.1575,-51.693,-37.1672,-45.9752,-44.3191,-41.0199,-34.8205,-39.9344,-34.0564,-32.809,-29.6714,-39.1174,-37.3243,-35.8633,-44.6155,-46.1349,-33.213,-34.9745,-32.0046,-34.9661,-39.1257,-49.1272,-47.3502,-42.7355,-42.9899,-45.7603,-49.939,-27.3577,-31.0357,-40.799,-39.0805,-32.103,-34.676,-39.0202,-34.0322,-29.8428,-37.002,-34.7492,-45.1664,-30.4903,-33.2809,-40.8803,-41.3238,-31.6977,-38.532,-39.4678,-41.7605,-28.0704,-43.7318,-52.8487,-45.4704,-46.4241,-38.357,-38.0663,-38.7235,-43.933,-42.5507,-37.4491,-40.7764,-36.9919,-34.3405,-34.8413,-38.9335,-32.2776,-37.4978,-31.4629,-30.2234,-32.4519,-30.2402,-40.8929,-37.3646,-33.1158,-40.8296,-44.7065
