"taxon","eta","rho"
"ASH",0.524990975856781,0.116894997656345
"BEECH",1.18403995037079,0.139634996652603
"BIRCH",0.382012009620667,0.0723353028297424
"ELM",0.573005974292755,0.138068005442619
"HEMLOCK",0.759733021259308,0.137869000434875
"MAPLE",0.613470017910004,0.0744239017367363
"OAK",1.08282005786896,0.113351002335548
"OTHER.CONIFER",0.586838006973267,0.145658999681473
"OTHER.HARDWOOD",0.470488995313644,0.0791568979620934
"PINE",1.04135000705719,0.0704633966088295
"SPRUCE",0.640896022319794,0.0895897001028061
"TAMARACK",0.808502018451691,0.0616413988173008
